Dataset,Mean Result,Stddev Result,alpha
toxcast,0.639280859475782,0.0033273070821542004,0.1
toxcast,0.6406330855455097,0.004350748253302903,0.5
toxcast,0.636475134098719,0.004617208669161309,1.0
clintox,0.5186059847773955,0.0749340398125567,1e-07
clintox,0.5453288094162351,0.06638577535613939,1e-06
clintox,0.5512697088705848,0.05046289096681106,1e-05
clintox,0.5190124711824743,0.02553214193599594,0.0001
clintox,0.5310519700181883,0.034124189768525666,0.001
clintox,0.554646427785308,0.02026744794790655,0.01
clintox,0.5718798873944323,0.056231023117278844,0.1
clintox,0.564871146561012,0.05339658241932107,0.5
clintox,0.562891425989643,0.03154977602272249,1.0
sider,0.5910351445134435,0.0016690770279326047,1e-07
sider,0.592476561084723,0.0048007298442287565,1e-06
sider,0.5966272601350259,0.008686442761202628,1e-05
sider,0.5995914341603655,0.01760762175950322,0.0001
sider,0.583261454551734,0.008476444068473116,0.001
sider,0.5928747529071031,0.014488953127819884,0.01
sider,0.5655729617562154,0.007451189459789446,0.1
sider,0.5666423779023737,0.009678180294134657,0.5
sider,0.5635310770372884,0.014179893928458592,1.0
